"Kod";"Nazwa";"ogółem;2018;[zł]";
3013000;"Powiat leszczyński";4304,66;
3014000;"Powiat międzychodzki";3880,47;
3015000;"Powiat nowotomyski";4319,19;
3016000;"Powiat obornicki";4259,36;
3017000;"Powiat ostrowski";4080,99;
3018000;"Powiat ostrzeszowski";3905,96;
3019000;"Powiat pilski";4383,06;
3020000;"Powiat pleszewski";3869,29;
3021000;"Powiat poznański";4241,36;
3022000;"Powiat rawicki";3737,75;
3023000;"Powiat słupecki";3862,22;
3024000;"Powiat szamotulski";4680,51;
3025000;"Powiat średzki";4440,62;
3026000;"Powiat śremski";3861,64;
3027000;"Powiat turecki";3579,72;
3028000;"Powiat wągrowiecki";3912,65;
3029000;"Powiat wolsztyński";3856,99;
3030000;"Powiat wrzesiński";4246,77;
3031000;"Powiat złotowski";3553,95;
3061000;"Powiat m.Kalisz";4124,83;
3062000;"Powiat m.Konin";4215,68;
3063000;"Powiat m.Leszno";4083,89;
3064000;"Powiat m.Poznań";5355,57;
3200000;"ZACHODNIOPOMORSKIE";4431,95;
3201000;"Powiat białogardzki";4093,01;
3202000;"Powiat choszczeński";3951,70;
3203000;"Powiat drawski";3751,47;
3204000;"Powiat goleniowski";4574,30;
3205000;"Powiat gryficki";3776,55;
3206000;"Powiat gryfiński";4170,81;
3207000;"Powiat kamieński";3706,74;
3208000;"Powiat kołobrzeski";3988,20;
3209000;"Powiat koszaliński";3919,20;
3210000;"Powiat myśliborski";3956,46;
3211000;"Powiat policki";4908,94;
3212000;"Powiat pyrzycki";3923,66;
3213000;"Powiat sławieński";3770,34;
3214000;"Powiat stargardzki";4104,49;
3215000;"Powiat szczecinecki";4185,96;
3216000;"Powiat świdwiński";3703,91;
3217000;"Powiat wałecki";4045,65;
3218000;"Powiat łobeski";4083,38;
3261000;"Powiat m.Koszalin";4184,46;
3262000;"Powiat m.Szczecin";5007,48;
3263000;"Powiat m.Świnoujście";4779,09;
